algorithm,instance,run,distance,time,instance_type
Nearest Neighbor,euclidean_20_0,,434.59919294523786,0.003377199998794822,euclidean
2-opt,euclidean_20_0,,424.9669889766273,0.020453500001167413,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_0,,488.3269404688148,0.030453499999566702,euclidean
NN-SA Hybrid,euclidean_20_0,,488.3269404688148,0.049175000000104774,euclidean
Nearest Neighbor,euclidean_20_1,,385.10514137021295,0.004103999999642838,euclidean
2-opt,euclidean_20_1,,385.10514137021295,0.011903599999641301,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_1,,434.3279342483175,0.02683219999744324,euclidean
NN-SA Hybrid,euclidean_20_1,,434.3279342483175,0.023799500002496643,euclidean
Nearest Neighbor,euclidean_20_2,,467.69783890475924,0.0021415000010165386,euclidean
2-opt,euclidean_20_2,,431.72399744345034,0.011655099999188678,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_2,,467.9370427114573,0.026756299997941824,euclidean
NN-SA Hybrid,euclidean_20_2,,467.9370427114573,0.024254300002212403,euclidean
Nearest Neighbor,cluster_20_0,,514.0618920268113,0.0016414999990956858,cluster
2-opt,cluster_20_0,,505.20182080248156,0.01895680000234279,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_20_0,,521.2983207762306,0.032380900000134716,cluster
NN-SA Hybrid,cluster_20_0,,521.2983207762306,0.04179709999880288,cluster
Nearest Neighbor,cluster_20_1,,457.7404153403171,0.005727599997044308,cluster
2-opt,cluster_20_1,,451.57289436336634,0.03491260000009788,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_20_1,,474.3396440716282,0.030481499998131767,cluster
NN-SA Hybrid,cluster_20_1,,474.3396440716282,0.043331900000339374,cluster
Nearest Neighbor,cluster_20_2,,565.9810762886794,0.004135600000154227,cluster
2-opt,cluster_20_2,,545.4172340434411,0.027040800003305776,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_20_2,,612.8818561440536,0.03331690000050003,cluster
NN-SA Hybrid,cluster_20_2,,612.8818561440536,0.23324219999994966,cluster
