algorithm,instance,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std,instance_type
2-opt,cluster_50_0,747.8798894487886,747.8798894487886,747.8798894487886,,0.4116751000001386,0.4116751000001386,0.4116751000001386,,cluster
2-opt,cluster_50_1,693.3681887254534,693.3681887254534,693.3681887254534,,0.4347882000001846,0.4347882000001846,0.4347882000001846,,cluster
2-opt,cluster_50_2,660.112884589852,660.112884589852,660.112884589852,,0.3048001999995904,0.3048001999995904,0.3048001999995904,,cluster
2-opt,euclidean_50_0,593.8155989787608,593.8155989787608,593.8155989787608,,0.4134346999999252,0.4134346999999252,0.4134346999999252,,euclidean
2-opt,euclidean_50_1,549.0012475651203,549.0012475651203,549.0012475651203,,0.23557159999836585,0.23557159999836585,0.23557159999836585,,euclidean
2-opt,euclidean_50_2,600.4086921950548,600.4086921950548,600.4086921950548,,0.29652180000266526,0.29652180000266526,0.29652180000266526,,euclidean
NN-SA Hybrid,cluster_50_0,832.9846886554196,832.9846886554196,832.9846886554196,,0.09355169999980717,0.09355169999980717,0.09355169999980717,,cluster
NN-SA Hybrid,cluster_50_1,784.0697260655943,784.0697260655943,784.0697260655943,,0.09488899999996647,0.09488899999996647,0.09488899999996647,,cluster
NN-SA Hybrid,cluster_50_2,729.8698766464556,729.8698766464556,729.8698766464556,,0.10009920000084094,0.10009920000084094,0.10009920000084094,,cluster
NN-SA Hybrid,euclidean_50_0,796.6295699891283,796.6295699891283,796.6295699891283,,0.08922709999751532,0.08922709999751532,0.08922709999751532,,euclidean
NN-SA Hybrid,euclidean_50_1,615.4822852301842,615.4822852301842,615.4822852301842,,0.08884340000076918,0.08884340000076918,0.08884340000076918,,euclidean
NN-SA Hybrid,euclidean_50_2,734.0231647062147,734.0231647062147,734.0231647062147,,0.09554070000012871,0.09554070000012871,0.09554070000012871,,euclidean
Nearest Neighbor,cluster_50_0,778.1952512532421,778.1952512532421,778.1952512532421,,0.04378940000242437,0.04378940000242437,0.04378940000242437,,cluster
Nearest Neighbor,cluster_50_1,775.2145131842332,775.2145131842332,775.2145131842332,,0.03625109999848064,0.03625109999848064,0.03625109999848064,,cluster
Nearest Neighbor,cluster_50_2,707.3220360767095,707.3220360767095,707.3220360767095,,0.048037299999123206,0.048037299999123206,0.048037299999123206,,cluster
Nearest Neighbor,euclidean_50_0,644.8309221590487,644.8309221590487,644.8309221590487,,0.0391568000013649,0.0391568000013649,0.0391568000013649,,euclidean
Nearest Neighbor,euclidean_50_1,587.0859284574054,587.0859284574054,587.0859284574054,,0.05404210000051535,0.05404210000051535,0.05404210000051535,,euclidean
Nearest Neighbor,euclidean_50_2,657.3375291099102,657.3375291099102,657.3375291099102,,0.05019769999853452,0.05019769999853452,0.05019769999853452,,euclidean
"Simulated Annealing (T=1000, α=0.98)",cluster_50_0,832.9846886554196,832.9846886554196,832.9846886554196,,0.05090189999827999,0.05090189999827999,0.05090189999827999,,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_50_1,784.0697260655943,784.0697260655943,784.0697260655943,,0.06283600000097067,0.06283600000097067,0.06283600000097067,,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_50_2,729.8698766464556,729.8698766464556,729.8698766464556,,0.034493499999371124,0.034493499999371124,0.034493499999371124,,cluster
"Simulated Annealing (T=1000, α=0.98)",euclidean_50_0,796.6295699891283,796.6295699891283,796.6295699891283,,0.0648442999990948,0.0648442999990948,0.0648442999990948,,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_50_1,615.4822852301842,615.4822852301842,615.4822852301842,,0.04357809999783058,0.04357809999783058,0.04357809999783058,,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_50_2,734.0231647062147,734.0231647062147,734.0231647062147,,0.05005729999902542,0.05005729999902542,0.05005729999902542,,euclidean
