algorithm,instance,run,distance,time,meta_num_ants
"Ant Colony (ants=5, α=1.0, β=2.5)",euclidean_50_0,,642.2501321762198,0.30014689999370603,5
"Ant Colony (ants=10, α=1.0, β=2.5)",euclidean_50_0,,617.811107431022,0.5636912000045413,10
"Ant Colony (ants=20, α=1.0, β=2.5)",euclidean_50_0,,623.1395218747919,1.1891553000023123,20
"Ant Colony (ants=30, α=1.0, β=2.5)",euclidean_50_0,,635.4817335906016,1.6788691000037943,30
"Ant Colony (ants=50, α=1.0, β=2.5)",euclidean_50_0,,619.2836846639308,2.8478839000017615,50
"Ant Colony (ants=5, α=1.0, β=2.5)",euclidean_50_1,,706.3622849628118,0.319797699994524,5
"Ant Colony (ants=10, α=1.0, β=2.5)",euclidean_50_1,,696.0283693930177,0.6280159000016283,10
"Ant Colony (ants=20, α=1.0, β=2.5)",euclidean_50_1,,669.277454364176,1.2602043000006233,20
"Ant Colony (ants=30, α=1.0, β=2.5)",euclidean_50_1,,681.5183868055549,1.8463256999966688,30
"Ant Colony (ants=50, α=1.0, β=2.5)",euclidean_50_1,,671.5922754063985,3.091069100002642,50
"Ant Colony (ants=5, α=1.0, β=2.5)",euclidean_50_2,,567.4482608944593,0.3146312000026228,5
"Ant Colony (ants=10, α=1.0, β=2.5)",euclidean_50_2,,561.151784264697,0.6273598999978276,10
"Ant Colony (ants=20, α=1.0, β=2.5)",euclidean_50_2,,552.3583423975283,1.2462932000053115,20
"Ant Colony (ants=30, α=1.0, β=2.5)",euclidean_50_2,,552.4017495214607,1.8680969000051846,30
"Ant Colony (ants=50, α=1.0, β=2.5)",euclidean_50_2,,548.132274171248,3.118302399998356,50
