algorithm,instance,run,distance,time,meta_mutation_rate
"Genetic Algorithm (pop=100, mut=0.01, cx=OX)",euclidean_20_0,,397.58689511478366,0.14512120000290452,0.01
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",euclidean_20_0,,406.98277085501354,0.15942809999978635,0.05
"Genetic Algorithm (pop=100, mut=0.1, cx=OX)",euclidean_20_0,,390.44540607090556,0.15362159999494907,0.1
"Genetic Algorithm (pop=100, mut=0.2, cx=OX)",euclidean_20_0,,388.0953873742433,0.15637660000356846,0.2
"Genetic Algorithm (pop=100, mut=0.3, cx=OX)",euclidean_20_0,,415.1791959355998,0.158000000003085,0.3
"Genetic Algorithm (pop=100, mut=0.01, cx=OX)",euclidean_20_1,,367.5782061643623,0.1456266000022879,0.01
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",euclidean_20_1,,367.5782061643623,0.14614179999625776,0.05
"Genetic Algorithm (pop=100, mut=0.1, cx=OX)",euclidean_20_1,,367.5782061643623,0.14878569999564206,0.1
"Genetic Algorithm (pop=100, mut=0.2, cx=OX)",euclidean_20_1,,367.5782061643623,0.1480636999986018,0.2
"Genetic Algorithm (pop=100, mut=0.3, cx=OX)",euclidean_20_1,,367.5782061643623,0.1493445999949472,0.3
"Genetic Algorithm (pop=100, mut=0.01, cx=OX)",euclidean_20_2,,394.3488143204167,0.1400417999975616,0.01
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",euclidean_20_2,,394.3488143204167,0.15782319999561878,0.05
"Genetic Algorithm (pop=100, mut=0.1, cx=OX)",euclidean_20_2,,394.3488143204167,0.15326210000057472,0.1
"Genetic Algorithm (pop=100, mut=0.2, cx=OX)",euclidean_20_2,,394.34881432041675,0.14616530000057537,0.2
"Genetic Algorithm (pop=100, mut=0.3, cx=OX)",euclidean_20_2,,394.3488143204167,0.2562004999999772,0.3
