algorithm,instance,run,distance,time,meta_population_size
"Genetic Algorithm (pop=20, mut=0.05, cx=OX)",euclidean_20_0,,415.96058868152164,0.036026500005391426,20
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_0,,391.6668240462571,0.07346229999529896,50
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",euclidean_20_0,,406.98277085501354,0.14191150000260677,100
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_20_0,,406.5182913126967,0.20778170000266982,150
"Genetic Algorithm (pop=200, mut=0.05, cx=OX)",euclidean_20_0,,392.131303588574,0.26990310000110185,200
"Genetic Algorithm (pop=20, mut=0.05, cx=OX)",euclidean_20_1,,367.5782061643623,0.03709540000272682,20
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_1,,367.5782061643623,0.07566650000080699,50
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",euclidean_20_1,,367.5782061643623,0.13961919999564998,100
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_20_1,,367.5782061643623,0.20959859999857144,150
"Genetic Algorithm (pop=200, mut=0.05, cx=OX)",euclidean_20_1,,367.5782061643623,0.27015870000468567,200
"Genetic Algorithm (pop=20, mut=0.05, cx=OX)",euclidean_20_2,,401.24054790721226,0.03491000000212807,20
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_2,,401.24054790721226,0.07592799999838462,50
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",euclidean_20_2,,394.3488143204167,0.14336340000591008,100
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_20_2,,394.3488143204167,0.3682318999999552,150
"Genetic Algorithm (pop=200, mut=0.05, cx=OX)",euclidean_20_2,,394.3488143204167,0.31110050000279443,200
