algorithm,instance,run,distance,time,meta_cooling_rate
"Simulated Annealing (T=1000, α=0.8)",euclidean_20_0,,462.09713551538226,0.000788499994087033,0.8
"Simulated Annealing (T=1000, α=0.9)",euclidean_20_0,,462.09713551538226,0.0014328999968711287,0.9
"Simulated Annealing (T=1000, α=0.95)",euclidean_20_0,,462.09713551538226,0.00299579999409616,0.95
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_0,,400.694629020371,0.007964199998241384,0.98
"Simulated Annealing (T=1000, α=0.99)",euclidean_20_0,,440.45467013516856,0.016579900002398062,0.99
"Simulated Annealing (T=1000, α=0.8)",euclidean_20_1,,367.5782061643623,0.0009637999974074773,0.8
"Simulated Annealing (T=1000, α=0.9)",euclidean_20_1,,367.5782061643623,0.002044900000328198,0.9
"Simulated Annealing (T=1000, α=0.95)",euclidean_20_1,,367.5782061643623,0.0030049999986658804,0.95
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_1,,367.5782061643623,0.006987100001424551,0.98
"Simulated Annealing (T=1000, α=0.99)",euclidean_20_1,,367.5782061643623,0.015499599998292979,0.99
"Simulated Annealing (T=1000, α=0.8)",euclidean_20_2,,442.2209061007223,0.0007939999995869584,0.8
"Simulated Annealing (T=1000, α=0.9)",euclidean_20_2,,442.2209061007223,0.0016418000013800338,0.9
"Simulated Annealing (T=1000, α=0.95)",euclidean_20_2,,442.2209061007223,0.0037481000035768375,0.95
"Simulated Annealing (T=1000, α=0.98)",euclidean_20_2,,442.2209061007223,0.0071600000010221265,0.98
"Simulated Annealing (T=1000, α=0.99)",euclidean_20_2,,394.3488143204167,0.01700390000041807,0.99
