algorithm,instance,run,distance,time
Held-Karp,euclidean_10_0,,255.89184535892608,0.004000299995823298
Branch and Bound,euclidean_10_0,,277.56909540620626,0.1313953999997466
Held-Karp,euclidean_10_1,,310.7513014867732,0.0037031999963801354
Branch and Bound,euclidean_10_1,,342.9129033298489,0.18461999999999534
Held-Karp,euclidean_10_2,,284.63972631368836,0.0035569999963627197
Branch and Bound,euclidean_10_2,,298.77175863393376,0.0001362999973935075
Held-Karp,euclidean_10_3,,308.73848128304684,0.0035073000035481527
Branch and Bound,euclidean_10_3,,370.90459400423475,0.5504084999993211
Held-Karp,euclidean_10_4,,341.9876425048109,0.0038475999972433783
Branch and Bound,euclidean_10_4,,344.7304347095835,0.00040240000089397654
