algorithm,instance,run,distance,time
Held-Karp,euclidean_10_0,,255.89184535892608,0.011277099998551421
Branch and Bound,euclidean_10_0,,277.56909540620626,0.4237984999999753
Held-Karp,euclidean_10_1,,310.7513014867732,0.014517600000544917
Branch and Bound,euclidean_10_1,,342.9129033298489,0.6352678000002925
Held-Karp,euclidean_10_2,,284.63972631368836,0.010439599998790072
Branch and Bound,euclidean_10_2,,298.77175863393376,0.0005479999999806751
Nearest Neighbor,euclidean_10_0,,256.02616820290757,0.00034220000088680536
2-opt,euclidean_10_0,,255.8918453589261,0.000965600000199629
"Simulated Annealing (T=5000, α=0.99)",euclidean_10_0,,255.89184535892608,0.04441749999750755
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_10_0,,255.89184535892608,0.3634702000017569
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_10_0,,255.89184535892608,1.2113446000003023
Christofides,euclidean_10_0,,265.46327653664315,0.010523799999646144
Nearest Neighbor,euclidean_10_1,,314.2264135577722,0.0006833000006736256
2-opt,euclidean_10_1,,310.7513014867732,0.002509399997506989
"Simulated Annealing (T=5000, α=0.99)",euclidean_10_1,,310.7513014867732,0.0480225999999675
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_10_1,,310.7513014867731,0.3405665999998746
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_10_1,,310.7513014867731,1.1808127000003878
Christofides,euclidean_10_1,,354.0549146451231,0.003836200001387624
Nearest Neighbor,euclidean_10_2,,284.6397263136883,0.0005654000015056226
2-opt,euclidean_10_2,,284.63972631368824,0.0013883999999961816
"Simulated Annealing (T=5000, α=0.99)",euclidean_10_2,,284.6397263136883,0.03605430000243359
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_10_2,,284.63972631368824,0.340629500002251
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_10_2,,284.63972631368824,1.1775569999990694
Christofides,euclidean_10_2,,292.0401790332443,0.003238299999793526
Nearest Neighbor,euclidean_20_0,,434.59919294523786,0.0034739999973680824
2-opt,euclidean_20_0,,424.9669889766273,0.018066999997245148
"Simulated Annealing (T=5000, α=0.99)",euclidean_20_0,,488.3269404688148,0.055965900002775015
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_20_0,,424.9669889766272,1.107295999998314
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_20_0,,424.9669889766272,1.5538086000015028
Christofides,euclidean_20_0,,452.62790626731834,0.011921000001166249
Nearest Neighbor,euclidean_20_1,,385.10514137021295,0.00398759999734466
2-opt,euclidean_20_1,,385.10514137021295,0.016208900000492577
"Simulated Annealing (T=5000, α=0.99)",euclidean_20_1,,456.00362052746067,0.0467930000013439
