algorithm,instance,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std,structure
2-opt,cluster_20_0,1429.3304135150363,1429.3304135150363,1429.3304135150363,,0.00561569999990752,0.00561569999990752,0.00561569999990752,,cluster
2-opt,cluster_20_1,1309.8569009166965,1309.8569009166965,1309.8569009166965,,0.004024599998956546,0.004024599998956546,0.004024599998956546,,cluster
2-opt,cluster_20_2,1511.3762755274442,1511.3762755274442,1511.3762755274442,,0.00457740000274498,0.00457740000274498,0.00457740000274498,,cluster
2-opt,cluster_20_3,1518.8426442902678,1518.8426442902678,1518.8426442902678,,0.005367999998270534,0.005367999998270534,0.005367999998270534,,cluster
2-opt,cluster_20_4,1448.170510490805,1448.170510490805,1448.170510490805,,0.004825900003197603,0.004825900003197603,0.004825900003197603,,cluster
2-opt,euclidean_20_0,387.22950377541645,387.22950377541645,387.22950377541645,,0.0037903999982518144,0.0037903999982518144,0.0037903999982518144,,euclidean
2-opt,euclidean_20_1,318.2313472254871,318.2313472254871,318.2313472254871,,0.004899400002614129,0.004899400002614129,0.004899400002614129,,euclidean
2-opt,euclidean_20_2,378.25445943864287,378.25445943864287,378.25445943864287,,0.005655399996612687,0.005655399996612687,0.005655399996612687,,euclidean
2-opt,euclidean_20_3,400.50906599899105,400.50906599899105,400.50906599899105,,0.00452919999952428,0.00452919999952428,0.00452919999952428,,euclidean
2-opt,euclidean_20_4,433.65668156080875,433.65668156080875,433.65668156080875,,0.00549190000310773,0.00549190000310773,0.00549190000310773,,euclidean
2-opt,grid_20_0,249.2757648415084,249.2757648415084,249.2757648415084,,0.008471900000586174,0.008471900000586174,0.008471900000586174,,grid
2-opt,grid_20_1,246.72220560300002,246.72220560300002,246.72220560300002,,0.007372000000032131,0.007372000000032131,0.007372000000032131,,grid
2-opt,grid_20_2,250.16045504981554,250.16045504981554,250.16045504981554,,0.00925660000211792,0.00925660000211792,0.00925660000211792,,grid
2-opt,grid_20_3,247.73011289823665,247.73011289823665,247.73011289823665,,0.009447600001294632,0.009447600001294632,0.009447600001294632,,grid
2-opt,grid_20_4,249.80068232806474,249.80068232806474,249.80068232806474,,0.008519499999238178,0.008519499999238178,0.008519499999238178,,grid
2-opt,random_20_0,inf,inf,inf,,3.4000004234258085e-05,3.4000004234258085e-05,3.4000004234258085e-05,,random
2-opt,random_20_1,inf,inf,inf,,2.3799999326001853e-05,2.3799999326001853e-05,2.3799999326001853e-05,,random
2-opt,random_20_2,inf,inf,inf,,2.7000001864507794e-05,2.7000001864507794e-05,2.7000001864507794e-05,,random
2-opt,random_20_3,inf,inf,inf,,4.5900000259280205e-05,4.5900000259280205e-05,4.5900000259280205e-05,,random
2-opt,random_20_4,inf,inf,inf,,1.8800004909280688e-05,1.8800004909280688e-05,1.8800004909280688e-05,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_0,1441.3366415786893,1441.3366415786893,1441.3366415786893,,0.11480250000022352,0.11480250000022352,0.11480250000022352,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_1,1309.8569009166965,1309.8569009166965,1309.8569009166965,,0.11519309999857796,0.11519309999857796,0.11519309999857796,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_2,1514.6044867164528,1514.6044867164528,1514.6044867164528,,0.11920440000540111,0.11920440000540111,0.11920440000540111,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_3,1520.4857756419074,1520.4857756419074,1520.4857756419074,,0.11941849999857368,0.11941849999857368,0.11941849999857368,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_4,1452.5557083577366,1452.5557083577366,1452.5557083577366,,0.12120679999497952,0.12120679999497952,0.12120679999497952,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_0,384.40814947752904,384.40814947752904,384.40814947752904,,0.11462490000121761,0.11462490000121761,0.11462490000121761,,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_1,318.23134722548707,318.23134722548707,318.23134722548707,,0.11954129999503493,0.11954129999503493,0.11954129999503493,,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_2,384.1145361349558,384.1145361349558,384.1145361349558,,0.11645680000219727,0.11645680000219727,0.11645680000219727,,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_3,400.50906599899105,400.50906599899105,400.50906599899105,,0.11669760000222595,0.11669760000222595,0.11669760000222595,,euclidean
