algorithm,instance,run,distance,time,structure
Nearest Neighbor,euclidean_50_0,,664.9992468817971,0.03054560000236961,euclidean
2-opt,euclidean_50_0,,595.1652123552641,0.46739850000085426,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_50_0,,746.7019938169341,0.05584100000123726,euclidean
"Ant Colony (ants=20, α=1.0, β=3.0)",euclidean_50_0,,611.4722861561816,4.2379854999999225,euclidean
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",euclidean_50_0,,630.9963642392433,1.5960034999989148,euclidean
Christofides,euclidean_50_0,,643.284311277197,0.17840200000136974,euclidean
Nearest Neighbor,cluster_50_0,,1693.5611247104082,0.032644700000673765,cluster
2-opt,cluster_50_0,,1572.9489009105525,0.223195400001714,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_50_0,,1864.8157047400668,0.03567729999849689,cluster
"Ant Colony (ants=20, α=1.0, β=3.0)",cluster_50_0,,1633.2521897282397,3.92067329999918,cluster
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",cluster_50_0,,1662.7812049687777,1.5578545999997004,cluster
Christofides,cluster_50_0,,1693.048868135391,0.17938329999742564,cluster
Nearest Neighbor,grid_50_0,,736.6593130981122,0.060379300000931835,grid
2-opt,grid_50_0,,650.7939901801657,0.7462493999992148,grid
"Simulated Annealing (T=1000, α=0.98)",grid_50_0,,822.1667628732819,0.06614579999950365,grid
"Ant Colony (ants=20, α=1.0, β=3.0)",grid_50_0,,683.7154200223289,6.5460353999988,grid
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",grid_50_0,,732.2993598913879,2.112717899999552,grid
Christofides,grid_50_0,,697.0252073859588,0.30186890000186395,grid
Nearest Neighbor,random_50_0,,inf,1.5400000847876072e-05,random
2-opt,random_50_0,,inf,3.1299998227041215e-05,random
"Simulated Annealing (T=1000, α=0.98)",random_50_0,,inf,8.600000001024455e-05,random
"Ant Colony (ants=20, α=1.0, β=3.0)",random_50_0,,inf,8.990000060293823e-05,random
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",random_50_0,,inf,0.000378400000045076,random
Christofides,random_50_0,,inf,0.0004726000006485265,random
Nearest Neighbor,euclidean_50_1,,605.8650200441633,0.041524600001139333,euclidean
